f	power	dB
30.300000	0.001405	-28.522253
30.400000	0.001462	-28.351912
30.500000	0.001537	-28.133187
30.600000	0.001636	-27.861967
30.700000	0.001765	-27.532892
30.800000	0.001932	-27.138988
30.900000	0.002152	-26.671123
31.000000	0.002445	-26.117194
31.100000	0.002844	-25.460860
31.200000	0.003404	-24.679477
31.300000	0.004226	-23.740589
31.400000	0.005501	-22.595513
31.500000	0.007644	-21.166615
31.600000	0.011698	-19.318930
31.700000	0.020964	-16.785307
31.800000	0.051205	-12.906910
31.900000	0.312952	-5.045216
32.000000	0.919391	-0.364996
32.100000	0.063442	-11.976260
32.200000	0.020021	-16.985155
32.300000	0.009386	-20.275404
32.400000	0.005301	-22.756421
32.500000	0.003339	-24.764060
32.600000	0.002259	-26.460037
32.700000	0.001609	-27.934771
32.800000	0.001190	-29.243995
32.900000	0.000907	-30.424519
33.000000	0.000708	-31.501943
33.100000	0.000563	-32.494803
33.200000	0.000455	-33.416957
33.300000	0.000373	-34.279047
33.400000	0.000310	-35.089423
33.500000	0.000260	-35.854764
33.600001	0.000220	-36.580497
33.700001	0.000187	-37.271093
33.800001	0.000161	-37.930285
33.900001	0.000139	-38.561219
34.000001	0.000121	-39.166573
34.100001	0.000106	-39.748649
34.200001	0.000093	-40.309439
34.300001	0.000082	-40.850679
34.400001	0.000073	-41.373891
34.500001	0.000065	-41.880420
34.600001	0.000058	-42.371459
34.700001	0.000052	-42.848071
34.800001	0.000047	-43.311209
34.900001	0.000042	-43.761728
35.000001	0.000038	-44.200403
35.100001	0.000034	-44.627934
35.200001	0.000031	-45.044960
35.300001	0.000028	-45.452063
35.400001	0.000026	-45.849773
35.500001	0.000024	-46.238581
35.600001	0.000022	-46.618935
35.700001	0.000020	-46.991250
35.800001	0.000018	-47.355909
35.900001	0.000017	-47.713267
36.000001	0.000016	-48.063654
36.100001	0.000014	-48.407377
36.200001	0.000013	-48.744721
36.300001	0.000012	-49.075953
36.400001	0.000011	-49.401323
36.500001	0.000011	-49.721066
36.600001	0.000010	-50.035399
36.700001	0.000009	-50.344530
36.800001	0.000009	-50.648653
36.900001	0.000008	-50.947951
37.000001	0.000008	-51.242595
37.100001	0.000007	-51.532749
37.200001	0.000007	-51.818568
37.300001	0.000006	-52.100196
37.400001	0.000006	-52.377773
37.500001	0.000005	-52.651430
37.600001	0.000005	-52.921291
37.700001	0.000005	-53.187474
37.800001	0.000005	-53.450094
37.900001	0.000004	-53.709256
38.000001	0.000004	-53.965064
38.100001	0.000004	-54.217615
38.200001	0.000004	-54.467003
38.300001	0.000003	-54.713316
38.400001	0.000003	-54.956640
38.500001	0.000003	-55.197057
38.600001	0.000003	-55.434644
38.700001	0.000003	-55.669477
38.800001	0.000003	-55.901628
38.900001	0.000002	-56.131164
39.000001	0.000002	-56.358153
39.100001	0.000002	-56.582658
39.200001	0.000002	-56.804741
39.300001	0.000002	-57.024459
39.400001	0.000002	-57.241870
39.500001	0.000002	-57.457027
39.600001	0.000002	-57.669985
39.700001	0.000002	-57.880792
39.800001	0.000002	-58.089499
39.900001	0.000001	-58.296151
40.000001	0.000001	-58.500794
40.100001	0.000001	-58.703473
40.200001	0.000001	-58.904230
40.300001	0.000001	-59.103106
40.400001	0.000001	-59.300139
40.500001	0.000001	-59.495370
40.600001	0.000001	-59.688834
40.700001	0.000001	-59.880567
40.800001	0.000001	-60.070605
40.900001	0.000001	-60.258982
41.000001	0.000001	-60.445729
41.100001	0.000001	-60.630878
41.200001	0.000001	-60.814461
41.300001	0.000001	-60.996507
41.400001	0.000001	-61.177044
41.500001	0.000001	-61.356102
41.600001	0.000001	-61.533707
41.700001	0.000001	-61.709886
41.800001	0.000001	-61.884664
41.900001	0.000001	-62.058066
42.000001	0.000001	-62.230118
42.100001	0.000001	-62.400842
42.200001	0.000001	-62.570261
42.300001	0.000001	-62.738399
42.400001	0.000001	-62.905276
42.500001	0.000000	-63.070914
42.600001	0.000000	-63.235334
42.700001	0.000000	-63.398555
42.800001	0.000000	-63.560598
42.900001	0.000000	-63.721482
43.000001	0.000000	-63.881224
43.100001	0.000000	-64.039844
43.200001	0.000000	-64.197360
43.300001	0.000000	-64.353787
43.400001	0.000000	-64.509144
43.500001	0.000000	-64.663446
43.600001	0.000000	-64.816711
43.700001	0.000000	-64.968952
43.800001	0.000000	-65.120187
43.900001	0.000000	-65.270429
44.000001	0.000000	-65.419694
44.100001	0.000000	-65.567996
44.200001	0.000000	-65.715348
44.300001	0.000000	-65.861765
44.400001	0.000000	-66.007259
44.500001	0.000000	-66.151845
44.600001	0.000000	-66.295533
44.700001	0.000000	-66.438338
44.800001	0.000000	-66.580271
44.900001	0.000000	-66.721344
45.000001	0.000000	-66.861569
45.100001	0.000000	-67.000958
45.200001	0.000000	-67.139521
45.300001	0.000000	-67.277270
45.400001	0.000000	-67.414214
45.500001	0.000000	-67.550366
45.600001	0.000000	-67.685735
45.700001	0.000000	-67.820331
45.800001	0.000000	-67.954165
45.900001	0.000000	-68.087245
46.000001	0.000000	-68.219582
46.100001	0.000000	-68.351184
46.200001	0.000000	-68.482061
46.300001	0.000000	-68.612223
46.400001	0.000000	-68.741676
46.500001	0.000000	-68.870432
46.600001	0.000000	-68.998496
46.700001	0.000000	-69.125879
46.800001	0.000000	-69.252589
46.900001	0.000000	-69.378632
47.000001	0.000000	-69.504018
47.100001	0.000000	-69.628753
47.200001	0.000000	-69.752846
47.300001	0.000000	-69.876303
47.400001	0.000000	-69.999133
47.500001	0.000000	-70.121341
47.600001	0.000000	-70.242937
47.700001	0.000000	-70.363925
47.800001	0.000000	-70.484313
47.900001	0.000000	-70.604108
48.000001	0.000000	-70.723316
48.100001	0.000000	-70.841944
48.200001	0.000000	-70.959998
48.300001	0.000000	-71.077485
48.400001	0.000000	-71.194409
48.500001	0.000000	-71.310778
48.600001	0.000000	-71.426597
48.700001	0.000000	-71.541873
48.800001	0.000000	-71.656610
48.900001	0.000000	-71.770815
49.000001	0.000000	-71.884493
49.100001	0.000000	-71.997649
49.200001	0.000000	-72.110289
49.300001	0.000000	-72.222419
49.400001	0.000000	-72.334042
49.500001	0.000000	-72.445165
49.600001	0.000000	-72.555793
49.700001	0.000000	-72.665930
49.800001	0.000000	-72.775581
49.900001	0.000000	-72.884751
50.000001	0.000000	-72.993445
50.100001	0.000000	-73.101668
50.200001	0.000000	-73.209423
50.300001	0.000000	-73.316716
50.400001	0.000000	-73.423551
50.500001	0.000000	-73.529933
50.600001	0.000000	-73.635865
50.700001	0.000000	-73.741352
50.800001	0.000000	-73.846398
50.900001	0.000000	-73.951007
51.000001	0.000000	-74.055184
51.100001	0.000000	-74.158932
51.200001	0.000000	-74.262255
51.300001	0.000000	-74.365157
51.400001	0.000000	-74.467642
51.500001	0.000000	-74.569714
51.600001	0.000000	-74.671377
51.700001	0.000000	-74.772633
51.800001	0.000000	-74.873488
51.900001	0.000000	-74.973943
52.000001	0.000000	-75.074004
52.100001	0.000000	-75.173672
52.200001	0.000000	-75.272953
52.300001	0.000000	-75.371849
52.400001	0.000000	-75.470363
52.500001	0.000000	-75.568498
52.600001	0.000000	-75.666259
52.700001	0.000000	-75.763648
52.800001	0.000000	-75.860668
52.900001	0.000000	-75.957323
53.000001	0.000000	-76.053615
53.100001	0.000000	-76.149548
53.200001	0.000000	-76.245124
53.300001	0.000000	-76.340347
53.400001	0.000000	-76.435219
53.500001	0.000000	-76.529743
53.600001	0.000000	-76.623923
53.700001	0.000000	-76.717760
53.800001	0.000000	-76.811259
53.900001	0.000000	-76.904420
54.000001	0.000000	-76.997248
54.100001	0.000000	-77.089744
54.200001	0.000000	-77.181912
54.300001	0.000000	-77.273754
54.400001	0.000000	-77.365273
54.500001	0.000000	-77.456470
54.600001	0.000000	-77.547350
54.700001	0.000000	-77.637913
54.800001	0.000000	-77.728163
54.900001	0.000000	-77.818102
55.000001	0.000000	-77.907732
55.100001	0.000000	-77.997056
55.200001	0.000000	-78.086075
55.300001	0.000000	-78.174794
55.400001	0.000000	-78.263212
55.500001	0.000000	-78.351334
55.600001	0.000000	-78.439160
55.700001	0.000000	-78.526694
55.800001	0.000000	-78.613938
55.900001	0.000000	-78.700892
56.000001	0.000000	-78.787561
56.100001	0.000000	-78.873945
56.200001	0.000000	-78.960047
56.300001	0.000000	-79.045869
56.400001	0.000000	-79.131413
56.500001	0.000000	-79.216680
56.600001	0.000000	-79.301674
56.700001	0.000000	-79.386395
56.800001	0.000000	-79.470846
56.900001	0.000000	-79.555029
57.000001	0.000000	-79.638945
57.100001	0.000000	-79.722597
57.200001	0.000000	-79.805985
57.300001	0.000000	-79.889113
57.400001	0.000000	-79.971982
57.500001	0.000000	-80.054594
57.600001	0.000000	-80.136950
57.700001	0.000000	-80.219052
57.800001	0.000000	-80.300902
57.900001	0.000000	-80.382502
58.000001	0.000000	-80.463853
58.100001	0.000000	-80.544957
58.200001	0.000000	-80.625816
58.300001	0.000000	-80.706431
58.400001	0.000000	-80.786804
58.500001	0.000000	-80.866936
